,KNN/Kmeans,KNN/SMR,KNN/SVDD,Kmeans/KNN,Kmeans/SMR,Kmeans/SVDD,SMR/KNN,SMR/Kmeans,SMR/SVDD,SVDD/KNN,SVDD/Kmeans,SVDD/SMR
ceylon-ide-eclipse-Class4.csv,1,0.01,0,1,0.01,0,0.333333333,0.333333333,0.101010101,0,0,0.05
ceylon-ide-eclipse-Class5.csv,0.563218391,0.01242236,0.025210084,0.803278689,0.01242236,0.025210084,0.06557377,0.045977011,0.075630252,0.049180328,0.034482759,0.027950311
ckjm.csv,0.2,0,0,0.5,0,0,0,0,1,0,0,0.5
derby-10.2.1.6.csv,0.369230769,0.270408163,0.183050847,0.595533499,0.336734694,0.322711864,0.263027295,0.203076923,0.012881356,0.669975186,0.732307692,0.048469388
derby-10.3.1.4.csv,0.366826156,0.244897959,0.277777778,0.54631829,0.337868481,0.055555556,0.256532067,0.237639553,1,0.011876485,0.001594896,0.040816327
derby-10.5.1.1.csv,0.447306792,0.205175601,0.2,0.640939597,0.304990758,0,0.372483221,0.386416862,0.066666667,0.010067114,0,0.001848429
e-learning.csv,0.8,0,0,0.8,0,0,0,0,1,0,0,0.25
eclipse-2.0.csv,0.397746967,0.016356877,0.01826484,0.675994109,0.012639405,0.00913242,0.032400589,0.014731369,1,0.011782032,0.003466205,0.325650558
eclipse-2.1.csv,0.522727273,0.020925808,0.026666667,0.760057471,0.021559924,0.020952381,0.047413793,0.033596838,0.939047619,0.020114943,0.010869565,0.312618897
eclipse-3.0.csv,0.454031844,0.023135033,0.031473534,0.719869707,0.021246459,0.018597997,0.03990228,0.023112481,0.945636624,0.017915309,0.006676939,0.312086874
eclipse34_debug.csv,0.452,0.319248826,0.070175439,0.573604061,0.352112676,0.087719298,0.345177665,0.3,0.175438596,0.020304569,0.02,0.046948357
elasticsearch-Class1.csv,1,0.005390836,0,1,0.005390836,0,0.666666667,0.666666667,0,0,0,0
elasticsearch-Class10.csv,0.473045822,0.097866078,0.037156704,0.688235294,0.120676968,0.032310178,0.260784314,0.221024259,0.234248788,0.045098039,0.026954178,0.1066961
elasticsearch-Class11.csv,0.497816594,0.065798988,0.033457249,0.728434505,0.07736804,0.026022305,0.290734824,0.233624454,0.252788104,0.057507987,0.030567686,0.098336949
elasticsearch-Class12.csv,0.714285714,0.01584022,0.005859375,0.833333333,0.017906336,0.001953125,0.348484848,0.337662338,0.029296875,0.045454545,0.012987013,0.010330579
elasticsearch-Class2.csv,0.556521739,0.071578947,0.010152284,0.780487805,0.094736842,0.005076142,0.414634146,0.391304348,0.16751269,0.024390244,0.008695652,0.069473684
elasticsearch-Class3.csv,0.530075188,0.116883117,0.038314176,0.649769585,0.144480519,0.038314176,0.331797235,0.334586466,0.229885057,0.046082949,0.037593985,0.097402597
elasticsearch-Class4.csv,0.587878788,0.040214477,0.019417476,0.708029197,0.071045576,0.012944984,0.218978102,0.321212121,0.203883495,0.04379562,0.024242424,0.084450402
elasticsearch-Class5.csv,0.70212766,0.04851752,0.015444015,0.75862069,0.066037736,0.003861004,0.413793103,0.521276596,0.146718147,0.045977011,0.010638298,0.051212938
elasticsearch-Class6.csv,0.649425287,0.067924528,0.020408163,0.773972603,0.074213836,0.014577259,0.369863014,0.33908046,0.201166181,0.047945205,0.028735632,0.086792453
elasticsearch-Class7.csv,0.43877551,0.121863799,0.050802139,0.689102564,0.132616487,0.050802139,0.326923077,0.226530612,0.256684492,0.060897436,0.03877551,0.114695341
elasticsearch-Class8.csv,0.486328125,0.093881857,0.046875,0.701408451,0.120253165,0.040178571,0.250704225,0.22265625,0.207589286,0.05915493,0.03515625,0.098101266
elasticsearch-Class9.csv,0.439263804,0.108382727,0.036764706,0.69921875,0.139712108,0.045955882,0.25,0.202453988,0.246323529,0.0390625,0.030674847,0.113463167
forrest-0.6.csv,1,1,0,1,1,0,1,1,0,0,0,0
forrest-0.7.csv,0.6,0.4,0,0.6,0.2,0,0.4,0.2,0,0,0,0
forrest-0.8.csv,1,0,0,1,0,0,0,0,0,0,0,0
groovy-1_5_7.csv,0.68,0.119205298,0.018656716,0.68,0.119205298,0.01119403,0.72,0.72,0.01119403,0.2,0.12,0.01986755
groovy-1_6_BETA_1.csv,0.435897436,0.176829268,0.0625,0.596491228,0.213414634,0.086734694,0.50877193,0.448717949,0.161989796,0.859649123,0.871794872,0.774390244
groovy-1_6_BETA_2.csv,0.46,0.136363636,0.067535545,0.741935484,0.289772727,0.101895735,0.387096774,0.51,0.161137441,0.919354839,0.86,0.772727273
hazelcast-Class1.csv,1,1,1,1,1,1,1,1,1,1,1,1
hazelcast-Class2.csv,0.5,0.060897436,0.058823529,0.613333333,0.080128205,0.049019608,0.253333333,0.27173913,0.009803922,0.08,0.054347826,0.003205128
hazelcast-Class3.csv,0.473684211,0.062686567,0.057692308,0.658536585,0.08358209,0.019230769,0.256097561,0.245614035,0.009615385,0.073170732,0.01754386,0.002985075
hazelcast-Class4.csv,0.711111111,0.011363636,0.04040404,0.820512821,0.014204545,0.04040404,0.102564103,0.111111111,0.96969697,0.102564103,0.088888889,0.272727273
hazelcast-Class5.csv,0.636363636,0.024861878,0.029761905,0.677419355,0.016574586,0.017857143,0.14516129,0.090909091,0.529761905,0.080645161,0.045454545,0.245856354
hazelcast-Class6.csv,0.524444444,0.043478261,0.046875,0.746835443,0.053830228,0.03125,0.132911392,0.115555556,0.307291667,0.056962025,0.026666667,0.122153209
hazelcast-Class7.csv,0.443965517,0.073313783,0.066666667,0.715277778,0.098240469,0.073333333,0.173611111,0.144396552,0.463333333,0.069444444,0.047413793,0.203812317
hazelcast-Class8.csv,0.505464481,0.020224719,0.033248082,0.719844358,0.021348315,0.040920716,0.070038911,0.051912568,0.475703325,0.050583658,0.043715847,0.208988764
hazelcast-Class9.csv,0.515418502,0.035552194,0.010362694,0.801369863,0.049167927,0.010362694,0.321917808,0.286343612,0.115716753,0.04109589,0.026431718,0.050680787
